
"Drew Lock","Chris Carson","David Montgomery","Keenan Allen","Robby Anderson","Corey Davis","T.J. Hockenson","KJ Hamler","Saints ","327.2"
"Drew Lock","Austin Ekeler","Chris Carson","Calvin Ridley","Robby Anderson","KJ Hamler","T.J. Hockenson","Ronald Jones II","Colts ","258.8"
"Aaron Rodgers","Mike Davis","DeAndre Washington","Davante Adams","Calvin Ridley","Breshad Perriman","T.J. Hockenson","Darnell Mooney","Saints ","279.9"
"Drew Lock","Austin Ekeler","Wayne Gallman Jr.","Robby Anderson","Corey Davis","KJ Hamler","Travis Kelce","Ronald Jones II","Saints ","283.6"
"Drew Lock","Aaron Jones","Austin Ekeler","A.J. Brown","Robby Anderson","Tim Patrick","Logan Thomas","David Montgomery","Cardinals ","259.9"
"Drew Lock","Derrick Henry","David Montgomery","Keenan Allen","Robby Anderson","KJ Hamler","T.J. Hockenson","Giovani Bernard","49ers ","323.9"
"Justin Herbert","Chris Carson","J.D. McKissic","Calvin Ridley","Keenan Allen","A.J. Green","T.J. Hockenson","Nyheim Hines","Buccaneers ","280.2"
"Tua Tagovailoa","Wayne Gallman Jr.","Kenyan Drake","A.J. Brown","Keenan Allen","Antonio Brown","Travis Kelce","Mack Hollins","Cowboys ","291.4"
"Drew Lock","Aaron Jones","David Montgomery","Brandin Cooks","Robby Anderson","Tim Patrick","T.J. Hockenson","Josh Jacobs","Seahawks ","311.1"
"Drew Lock","Chris Carson","James Robinson","Adam Thielen","Brandin Cooks","Tim Patrick","Robert Tonyan","Curtis Samuel","Saints ","311.6"
"Drew Lock","James Robinson","J.D. McKissic","Tyreek Hill","Robby Anderson","Chris Godwin","Evan Engram","Tim Patrick","Seahawks ","270.2"
"Drew Lock","Derrick Henry","Dalvin Cook","Keenan Allen","Curtis Samuel","KJ Hamler","Jimmy Graham","DeAndre Washington","Saints ","253.0"
"Drew Lock","Derrick Henry","Aaron Jones","Robby Anderson","Chris Godwin","KJ Hamler","Evan Engram","Jonathan Taylor","Seahawks ","271.5"
"Drew Lock","Aaron Jones","J.D. McKissic","Tyreek Hill","Adam Thielen","Tim Patrick","Dan Arnold","Curtis Samuel","Saints ","282.0"
"Drew Lock","Ezekiel Elliott","Todd Gurley II","Keenan Allen","Brandin Cooks","Robby Anderson","Travis Kelce","KJ Hamler","Seahawks ","309.8"
"Drew Lock","Austin Ekeler","Chris Carson","Brandin Cooks","Tim Patrick","Curtis Samuel","Robert Tonyan","James Robinson","Saints ","324.2"
"Drew Lock","Derrick Henry","Aaron Jones","Brandin Cooks","Tim Patrick","Curtis Samuel","Mike Gesicki","Todd Gurley II","Saints ","301.0"
"Tua Tagovailoa","Aaron Jones","David Montgomery","Tyreek Hill","Brandin Cooks","Mack Hollins","T.J. Hockenson","Melvin Gordon III","Cardinals ","274.7"
"Drew Lock","Austin Ekeler","Ezekiel Elliott","Robby Anderson","Tyler Lockett","KJ Hamler","T.J. Hockenson","Ronald Jones II","Saints ","315.1"
"Drew Lock","Derrick Henry","Austin Ekeler","Calvin Ridley","Robby Anderson","KJ Hamler","Logan Thomas","Ronald Jones II","Seahawks ","375.7"
"Tua Tagovailoa","David Montgomery","Wayne Gallman Jr.","A.J. Brown","Brandin Cooks","Nelson Agholor","Travis Kelce","Mack Hollins","Saints ","359.3"
"Tom Brady","Derrick Henry","Mike Davis","Keenan Allen","Chris Godwin","KJ Hamler","Irv Smith Jr.","DeAndre Washington","Saints ","294.0"
"Ryan Tannehill","Chris Carson","David Montgomery","Keenan Allen","Corey Davis","DJ Chark Jr.","Irv Smith Jr.","Curtis Samuel","WAS Football Team ","255.9"
"Drew Lock","Chris Carson","David Montgomery","Calvin Ridley","Robby Anderson","KJ Hamler","Darren Waller","Kenyan Drake","Cowboys ","276.0"
"Drew Lock","Aaron Jones","Alvin Kamara","A.J. Brown","Brandin Cooks","Curtis Samuel","T.J. Hockenson","KJ Hamler","Chiefs ","268.0"
"Drew Lock","Derrick Henry","Aaron Jones","Brandin Cooks","Tim Patrick","Curtis Samuel","Logan Thomas","James Robinson","Bengals ","285.7"
"Ryan Tannehill","David Montgomery","Giovani Bernard","A.J. Brown","Brandin Cooks","Mike Evans","T.J. Hockenson","Keelan Cole Sr.","Seahawks ","280.2"
"Russell Wilson","Kenyan Drake","DeAndre Washington","Tyreek Hill","DK Metcalf","Chris Godwin","Irv Smith Jr.","Breshad Perriman","Cowboys ","205.1"
"Ryan Tannehill","Aaron Jones","Mike Davis","A.J. Brown","Darnell Mooney","Laviska Shenault Jr.","Travis Kelce","J.D. McKissic","Seahawks ","299.0"
"Drew Lock","Austin Ekeler","David Montgomery","Brandin Cooks","Robby Anderson","Tim Patrick","T.J. Hockenson","Ronald Jones II","Saints ","312.9"
"Drew Lock","Alvin Kamara","David Montgomery","Tyreek Hill","Robby Anderson","Corey Davis","T.J. Hockenson","KJ Hamler","WAS Football Team ","310.7"
"Drew Lock","Chris Carson","James Robinson","Calvin Ridley","Robby Anderson","Chris Godwin","Robert Tonyan","KJ Hamler","Colts ","336.3"
